HIGH,LOW,OPEN,CLOSE,DATE_TIME
-1.043072914,-1.04643454,-1.049534253,-1.04169799,2000.01.06 06:00:00
-1.040060425,-1.042216107,-1.04471376,-1.042903116,2000.01.06 06:15:00
-1.037047937,-1.042216107,-1.040495828,-1.038082612,2000.01.06 06:30:00
-1.035842942,-1.037997674,-1.03748302,-1.033864671,2000.01.06 06:45:00
-1.03102296,-1.033779241,-1.034470212,-1.030249293,2000.01.06 07:00:00
-1.024395486,-1.029560808,-1.031457403,-1.031454419,2000.01.06 07:15:00
-1.032227955,-1.030766074,-1.030854842,-1.029646729,2000.01.06 07:30:00
-1.030420462,-1.029560808,-1.029649718,-1.032056982,2000.01.06 07:45:00
-1.032830453,-1.03920294,-1.029649718,-1.04169799,2000.01.06 08:00:00
-1.040060425,-1.045229273,-1.039893266,-1.045915931,2000.01.06 08:15:00
-1.042470416,-1.04462664,-1.045316321,-1.047121057,2000.01.06 08:30:00
-1.046085402,-1.048845073,-1.047726568,-1.045313368,2000.01.06 08:45:00
-1.043072914,-1.043421373,-1.046521445,-1.042300553,2000.01.06 09:00:00
-1.044880407,-1.051255606,-1.042906075,-1.050736435,2000.01.06 09:15:00
-1.043072914,-1.049447706,-1.051341938,-1.042903116,2000.01.06 09:30:00
-1.044880407,-1.04462664,-1.042303513,-1.044108242,2000.01.06 09:45:00
-1.035842942,-1.04101084,-1.042303513,-1.037480049,2000.01.06 10:00:00
-1.037047937,-1.036792407,-1.03748302,-1.037480049,2000.01.06 10:15:00
-1.040060425,-1.04281874,-1.03748302,-1.043505679,2000.01.06 10:30:00
-1.040662923,-1.042216107,-1.044111198,-1.039890301,2000.01.06 10:45:00
-1.03885543,-1.040408207,-1.040495828,-1.037480049,2000.01.06 11:00:00
-1.040060425,-1.039805573,-1.038085581,-1.040492864,2000.01.06 11:15:00
-1.038252932,-1.040408207,-1.039290705,-1.037480049,2000.01.06 11:30:00
-1.037650435,-1.03739504,-1.03748302,-1.039287738,2000.01.06 11:45:00
-1.037047937,-1.037997674,-1.038085581,-1.034467234,2000.01.06 12:00:00
-1.032830453,-1.034381874,-1.03386765,-1.036877486,2000.01.06 12:15:00
